1761254721,12416,524.6474609,,Metrics,Value,Rounded,Simulated,% Change
1761254790,53808,302.6512146,,Q1,80.17,80,69,15.9
1761254822,71936,159.8454742,,Q2,262.08,262,254,3.1
1761254863,96416,159.5205383,,Q3,424.73,424,439,-3.4
1761254904,119552,313.053772,,Max,774.06,774,751,3.1
1761254918,128096,265.9484558,,IQR,344.56,344,370,-7
1761254927,131440,2.753272533,,,,,,
1761254937,137424,77.72554779,,,,,,
1761254963,151984,83.65364075,,,,,,
1761254971,156320,492.3407593,,,,,,
1761254974,158384,53.75670624,,,,,,
1761254991,165712,640.0151367,,,,,,
1761255061,203856,461.7570496,,,,,,
1761255087,215104,263.8017883,,,,,,
1761255090,216576,483.962616,,,,,,
1761255164,259344,6.523834705,,,,,,
1761255202,282560,449.8392029,,,,,,
1761255205,284032,32.5909729,,,,,,
1761255290,332752,315.7919617,,,,,,
1761255347,365808,0,,,,,,
1761255419,407072,17.44104958,,,,,,
1761255437,417648,694.8145752,,,,,,
1761255447,423600,159.366806,,,,,,
1761255477,440384,286.7087402,,,,,,
1761255518,463984,690.5129395,,,,,,
1761255520,464928,280.3177185,,,,,,
1761255541,477264,0,,,,,,
1761255547,480288,264.4962158,,,,,,
1761255598,509712,147.6700897,,,,,,
1761255628,526240,165.3113403,,,,,,
1761255663,547488,479.1977844,,,,,,
1761255683,557072,93.94863892,,,,,,
1761255698,566240,24.40805817,,,,,,
1761255703,569360,137.391861,,,,,,
1761255761,602272,0,,,,,,
1761255789,619856,313.9532166,,,,,,
1761255825,639472,175.1834869,,,,,,
1761255916,690384,67.87340546,,,,,,
1761255938,704560,0,,,,,,
1761255960,717568,426.2546082,,,,,,
1761256000,740192,98.82407379,,,,,,
1761256035,759536,500.3248596,,,,,,
1761256086,790432,585.9620361,,,,,,
1761256095,795152,316.1533203,,,,,,
1761256106,801776,0,,,,,,
1761256125,812512,375.5778809,,,,,,
1761256148,824976,70.24265289,,,,,,
1761256165,835440,623.4707642,,,,,,
1761256200,856544,559.0814819,,,,,,
1761256215,866192,415.6691284,,,,,,
1761256219,869136,517.9725342,,,,,,
1761256237,879344,220.3959503,,,,,,
1761256243,882816,59.89542007,,,,,,
1761256266,894768,545.7458496,,,,,,
1761256294,911664,442.6582642,,,,,,
1761256301,915584,602.5322876,,,,,,
1761256308,918336,167.1290741,,,,,,
1761256343,939376,405.7792358,,,,,,
1761256351,943952,33.35515976,,,,,,
1761256399,970992,669.5717773,,,,,,
1761256432,989120,273.5858459,,,,,,
1761256462,1007424,21.2776432,,,,,,
1761256475,1015776,347.3034058,,,,,,
1761256481,1017440,281.288269,,,,,,
1761256515,1039632,253.1290436,,,,,,
1761256625,1104208,385.8682251,,,,,,
1761256642,1113888,21.90088081,,,,,,
1761256652,1119568,147.1650391,,,,,,
1761256662,1125504,221.0795135,,,,,,
1761256717,1155568,409.4869995,,,,,,
1761256721,1157856,0,,,,,,
1761256734,1164960,581.2244263,,,,,,
1761256743,1169808,288.2208862,,,,,,
1761256750,1174368,346.7857056,,,,,,
1761256773,1187136,56.75817871,,,,,,
