Wall time,Step,Value,,Metrics,Value,Rounded
1761158138,89152,535.3404541,,Q1,68.54696655,69
1761158146,94320,420.1731567,,Q2,253.6254272,254
1761158213,132064,48.53676987,,Q3,438.7817612,439
1761158254,157184,44.15637207,,Max,751,751
1761158296,181200,67.47134399,,IQR,370.2347946,370
1761158389,235264,0,,,,
1761158406,245168,278.3683777,,,,
1761158416,250464,629.0057068,,,,
1761158445,265184,72.39431763,,,,
1761158447,266192,729.6172485,,,,
1761158465,276400,0,,,,
1761158496,294896,626.6495972,,,,
1761158564,331824,22.29124451,,,,
1761158572,336656,87.32870483,,,,
1761158699,406928,314.9820557,,,,
1761158760,442304,81.87560272,,,,
1761158814,474192,567.7242432,,,,
1761158883,513712,13.04389191,,,,
1761158894,520592,52.72292328,,,,
1761158976,565856,549.8634644,,,,
1761159010,585168,37.50934601,,,,
1761159039,601584,90.42913055,,,,
1761159071,618832,79.63458252,,,,
1761159132,650528,45.69320297,,,,
1761159207,688640,269.9260559,,,,
1761159240,707088,294.506958,,,,
1761159269,721328,0,,,,
1761159294,734192,418.8543396,,,,
1761159307,740640,25.05606079,,,,
1761159318,745952,36.66546631,,,,
1761159345,758944,277.9718933,,,,
1761159477,827760,292.018158,,,,
1761159486,832720,325.5871887,,,,
1761159590,885568,497.2900696,,,,
1761159748,971280,0,,,,
1761159765,982048,151.9795685,,,,
1761159771,984000,512.3888245,,,,
1761159811,1005552,21.12857056,,,,
1761159887,1044256,492.6127625,,,,
1761159948,1075712,185.4895782,,,,
1761160100,1157632,46.64247131,,,,
1761160214,1217664,0,,,,
1761160262,1244464,20.08670044,,,,
1761160333,1279296,17.46629333,,,,
1761160515,1375296,19.08849716,,,,
1761160528,1381392,676.1712646,,,,
1761160555,1395456,0,,,,
1761160567,1401808,116.3290253,,,,
1761160586,1409776,751,,,,
1761160591,1412848,0,,,,
1761160771,1505984,443.4928284,,,,
1761161021,1634896,148.8035126,,,,
1761161245,1748512,301.5751343,,,,
1761161254,1753632,0,,,,
1761161287,1770720,0,,,,
1761161493,1876384,145.9519806,,,,
1761161559,1910224,256.7810974,,,,
1761161616,1939248,443.4928284,,,,
1761161652,1957920,505.4505005,,,,
1761161678,1971664,307.1598511,,,,
1761161825,2049120,0,,,,
1761161841,2058240,539.3831787,,,,
1761161850,2063824,0,,,,
1761161995,2144144,556.0013428,,,,
1761162094,2196688,19.62102318,,,,
1761162127,2215248,226.1813507,,,,
1761162291,2300048,550.2802124,,,,
1761162378,2346384,390.6413574,,,,
1761162413,2364208,5.222783566,,,,
1761162419,2367408,34.4526062,,,,
1761162448,2382032,622.3587646,,,,
1761162461,2389712,283.9690552,,,,
1761162484,2400080,29.52116776,,,,
1761162528,2424592,352.9217834,,,,
1761162647,2489344,44.72196579,,,,
1761162716,2526464,7.374677181,,,,
1761162756,2547744,251.0371246,,,,
1761162763,2551856,313.7446289,,,,
1761162777,2557104,515.2497559,,,,
1761162846,2593712,53.08036804,,,,
1761162890,2620704,0,,,,
1761162937,2645584,378.4243774,,,,
1761162985,2669856,67.23205566,,,,
1761163062,2712336,393.3588562,,,,
1761163070,2716512,366.2149658,,,,
1761163174,2773792,18.48445129,,,,
1761163240,2811568,86.29409027,,,,
1761163281,2832256,0,,,,
1761163389,2889744,598.6801147,,,,
1761163436,2913904,479.6423645,,,,
1761163493,2943520,0,,,,
1761163529,2962000,391.9953918,,,,
1761163558,2977840,369.4777832,,,,
1761163564,2980464,39.26759338,,,,
1761163704,3052688,2.336262465,,,,
1761163739,3071328,205.197052,,,,
1761163783,3094688,12.77615356,,,,
1761163806,3107584,13.88788605,,,,
