Step,CustomCNN,NatureCNN
21504,0.53193891,0.837337146
60800,0.519579947,0.692026585
68736,0.459841043,0.71170807
75136,0.530698657,0.705387551
82944,0.497923166,0.644095797
183936,0.387035191,0.594805583
222464,0.409282982,0.605328161
295424,0.434751987,0.483063417
305920,0.427639604,0.531034445
318336,0.400595844,0.510835604
415616,0.391949773,0.455950309
575104,0.41822654,0.492252874
657280,0.367857724,0.452404295
756224,0.42473945,0.440409089
857600,0.407777667,0.433434308
859136,0.382597744,0.396701269
891776,0.360369056,0.434200687
955392,0.382485628,0.443335601
998272,0.322116375,0.453644944
1002752,0.32979095,0.426153324
1047168,0.335050106,0.412948466
1052416,0.351001859,0.464760675
1087872,0.357195914,0.432572844
1185408,0.332649469,0.387826026
1212032,0.356343567,0.432319075
1331200,0.3367441,0.400102374
1395968,0.349255174,0.383226608
1403776,0.28302902,0.366010245
1476224,0.349633604,0.422580801
1532160,0.348210067,0.416468297
1648384,0.371737689,0.426472977
1668480,0.322857559,0.424064862
1829760,0.334575415,0.412336503
1877632,0.338453025,0.389491964
1891840,0.324661821,0.404948119
1980672,0.274989843,0.361514518
2062976,0.263447404,0.422109854
2157824,0.30674234,0.326562069
2216704,0.347020119,0.397861739
2245632,0.323917568,0.36964187
2500096,0.319228411,0.323434753
2514048,0.297526896,0.319193055
2525696,0.248218805,0.392131625
2568064,0.301131994,0.348804151
2629120,0.27118355,0.395194503
2634112,0.275157928,0.341764281
2660224,0.331792116,0.363644754
2669568,0.273962736,0.337869954
2698368,0.291970849,0.375612607
2706560,0.269072771,0.329018695
2728960,0.300867975,0.398995289
2858368,0.300782293,0.339856711
2861952,0.376924366,0.369191773
2980736,0.298910052,0.351639254
2990336,0.28154844,0.345987883
2998784,0.243291199,0.368699456
3029888,0.321542472,0.310145054
3033856,0.292410076,0.346232897
3090944,0.28232339,0.35122135
3113344,0.288375556,0.332245429
3165184,0.322231978,0.35740044
3191680,0.263348758,0.346518271
3232512,0.28550908,0.347158706
3430144,0.25561595,0.347222472
3533312,0.253750056,0.346579024
3708288,0.254472643,0.328619425
3711616,0.27004239,0.368427388
3818240,0.292147696,0.38490365
3840768,0.231723577,0.324097346
3900288,0.286121905,0.312448531
3918464,0.300911337,0.300554569
3930496,0.273707509,0.333732783
4020096,0.277192295,0.343570048
4024832,0.227688879,0.317217644
4087936,0.211337864,0.35855152
4151808,0.263097644,0.356260553
4210560,0.268992424,0.335845656
4211584,0.257250845,0.358879203
4247296,0.288747549,0.293696836
4318464,0.27535674,0.335438138
4320000,0.277465045,0.37462845
4324608,0.25064975,0.331825507
4331520,0.262407124,0.32468638
4336256,0.268620372,0.325046396
4340992,0.260414064,0.367639163
4398464,0.240049809,0.306342634
4419328,0.290047497,0.329851948
4428800,0.277050108,0.260195923
4541952,0.262343735,0.347416862
4602112,0.259052753,0.320985422
4612864,0.251786292,0.319122867
4688640,0.26326263,0.355883694
4692480,0.261970997,0.346603722
4716928,0.289124161,0.287628587
4761984,0.251140475,0.313825061
4798720,0.245413899,0.266426284
4833920,0.312503219,0.320160901
4848256,0.247907251,0.291444347
4956288,0.249591514,0.314351509
4971648,0.245926917,0.374883923
5030016,0.269454718,0.34515509
5081984,0.25345546,0.30851119
5212288,0.251810879,0.349251879
5221632,0.245327681,0.340411307
5282816,0.245352849,0.312081484
5393280,0.327051103,0.285592426
5436032,0.236378625,0.3404153
5585920,0.286358207,0.343415393
5595136,0.236987501,0.303667986
5607168,0.215117797,0.264176455
5631232,0.252795815,0.260188131
5657728,0.241238341,0.32302227
5664256,0.23138465,0.339713623
5671040,0.239316955,0.252368924
5736576,0.25065431,0.286580252
5755520,0.273524821,0.299722725
5807744,0.251023412,0.318022642
5825024,0.293510437,0.301725075
5844352,0.262248635,0.331227961
5930880,0.229431033,0.303623803
5940992,0.292926073,0.338952205
6111360,0.309758395,0.34958107
6140288,0.255702317,0.285665957
6167296,0.269665897,0.350767131
6306944,0.231564626,0.257918527
6317056,0.237533569,0.267595561
6407296,0.225292623,0.300414026
6504960,0.239808887,0.319156925
6545280,0.230108723,0.346716085
6557184,0.244282976,0.300095637
6630272,0.238733351,0.310394023
6743424,0.232045889,0.324285748
6772096,0.236445785,0.324844239
6776320,0.26690048,0.284856728
6795904,0.215329707,0.300898111
6844032,0.21548751,0.304226257
6894464,0.260881782,0.300939144
7015424,0.229561716,0.31666076
7211264,0.224753886,0.327188071
7234816,0.211495861,0.295125573
7273088,0.244757593,0.295007324
7516160,0.238060266,0.304665933
7519616,0.254626244,0.250797452
7521792,0.247977376,0.244347947
7703040,0.221730232,0.303649906
7703808,0.22156693,0.338785016
7740928,0.245129496,0.3431412
7953920,0.260131925,0.315071829
8006144,0.277780741,0.282954861
8150016,0.234422758,0.247617716
8258816,0.224729836,0.266213743
8402432,0.226189762,0.331224945
8548864,0.22256124,0.32749042
8573056,0.224906862,0.313490527
8578816,0.264118016,0.26726739
8632448,0.266023457,0.276618434
8855808,0.200155795,0.27206187
8890368,0.254912585,0.294266063
8924160,0.259728819,0.245803131
8949248,0.233156741,0.290413642
9019264,0.252267569,0.330628775
9034368,0.238889635,0.299526108
9044096,0.220319524,0.270785948
9087616,0.197494626,0.314120589
9142912,0.201146185,0.342077607
9204096,0.205978796,0.269491657
9210624,0.237933293,0.267740817
9213440,0.238544077,0.266825918
9217664,0.217268497,0.279594664
9220864,0.224874735,0.300182717
9254144,0.266546011,0.345358643
9308672,0.229726851,0.31104434
9345280,0.197847918,0.239097038
9662464,0.242094144,0.263881222
9756032,0.25561434,0.257660615
9789824,0.210236654,0.303153396
9814272,0.223313808,0.283724907
9844096,0.230923608,0.234563655
9844992,0.205791324,0.272830576
10010752,0.224390104,0.285538128
10101888,0.21376574,0.339782604
10108672,0.213542446,0.239734915
10112768,0.194497466,0.324450707
10252928,0.187004238,0.285680465
10290048,0.21541214,0.28984109
10292096,0.223596424,0.262360914
10318592,0.242434174,0.300214731
10367616,0.234261021,0.219073347
10370048,0.221332937,0.292177746
10658304,0.221328914,0.301847849
10804480,0.235875621,0.306093579
10829056,0.215065524,0.31847225
10891520,0.23168987,0.261952115
11009920,0.25263384,0.230322695
11107968,0.22199747,0.265296253
11118848,0.235828042,0.244190493
11137152,0.207657248,0.318198473
11186432,0.247280747,0.292613165
11281664,0.215863481,0.245320609
11350400,0.253998458,0.30824296
11436544,0.228431314,0.305170691
11438592,0.232205018,0.291761401
11516672,0.216783255,0.278869297
11550464,0.246338651,0.244624328
11686528,0.192212045,0.266150904
11728000,0.175071537,0.248448254
11730944,0.167338252,0.2300471
11791488,0.226414725,0.253266449
11876992,0.211794108,0.261539818
11932672,0.231008053,0.37032691
11964416,0.186821401,0.211037782
12019456,0.209861606,0.291894305
12132480,0.193323195,0.255454848
12167424,0.249863148,0.247438176
12208384,0.253079832,0.2621705
12221568,0.207070619,0.323114466
12326656,0.238663495,0.316059372
12356608,0.217862487,0.243154947
12542336,0.192991003,0.217493002
12604800,0.204359517,0.275467184
12679168,0.226875007,0.208629994
12785280,0.173407078,0.292632323
12875520,0.20502007,0.260754051
12909952,0.181970894,0.266720574
12917504,0.20199874,0.26693217
12937344,0.216737866,0.239619407
12971008,0.205368891,0.290469234
13046272,0.224277869,0.227536328
13048832,0.236675799,0.2707202
13168768,0.208628297,0.249982345
13172736,0.208666682,0.272834156
13179776,0.22304523,0.277508904
13184256,0.233924627,0.307968078
13185536,0.226499975,0.292585204
13250304,0.199990571,0.249083814
13305344,0.198026657,0.252893711
13347456,0.218309253,0.252741676
13354880,0.184045017,0.253052207
13426816,0.19531697,0.250372312
13430400,0.234063581,0.27369131
13452032,0.199368998,0.236987174
13495680,0.212026358,0.30298147
13539200,0.199059799,0.296240242
13540992,0.193177074,0.281295695
13602304,0.170811087,0.252843555
13640576,0.222021326,0.234029297
13803264,0.16403462,0.257464202
13899136,0.229650378,0.244307953
13990656,0.199185014,0.188412662
14057344,0.256534517,0.191914206
14108800,0.209647387,0.229709587
14133632,0.211743027,0.299377702
