1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761265387,6192,551.2663574,,Q1,301.2708206,301,312,-3.5
1761265392,7588,466.1934982,,Q2,516.202179,516,521,-1
1761265424,8896,671.2216187,,Q3,631.5709229,631,633,-0.3
1761265439,11816,370.26129,,Max,880.5113525,880,876,0.5
1761265492,17676,701.0178223,,IQR,330.3,330,321,2.8
1761265515,22488,301.7360458,,,,,,
1761265552,24860,687.713562,,,,,,
1761265559,26640,504.8690796,,,,,,
1761265574,29468,12.40709496,,,,,,
1761265583,31332,267.7731171,,,,,,
1761265618,33692,460.8109131,,,,,,
1761265622,34648,402.0224945,,,,,,
1761265634,37212,582.1472778,,,,,,
1761265681,42704,243.4238663,,,,,,
1761265685,43408,759.7822876,,,,,,
1761265692,45004,522.8312439,,,,,,
1761265762,55420,712.519043,,,,,,
1761265869,68472,132.4184074,,,,,,
1761265882,71288,369.9979355,,,,,,
1761265889,72868,180.1505699,,,,,,
1761265945,79280,656.9112549,,,,,,
1761265988,83524,682.8116455,,,,,,
1761266047,91280,560.2927856,,,,,,
1761266069,95804,296.4860229,,,,,,
1761266070,95876,453.1507828,,,,,,
1761266081,98128,120.7373772,,,,,,
1761266111,99328,532.0402283,,,,,,
1761266144,106368,705.0540771,,,,,,
1761266193,111268,277.1830215,,,,,,
1761266200,112660,195.5458374,,,,,,
1761266258,119008,444.1780594,,,,,,
1761266261,119652,750.9168701,,,,,,
1761266319,126236,145.1948776,,,,,,
1761266342,130340,750.2600708,,,,,,
1761266463,145200,106.6802444,,,,,,
1761266472,146868,440.7552231,,,,,,
1761266564,155756,225.2949371,,,,,,
1761266568,156732,623.9485474,,,,,,
1761266582,159276,532.6454803,,,,,,
1761266650,167608,630.0921021,,,,,,
1761266710,175036,211.457634,,,,,,
1761266721,177004,829.1780396,,,,,,
1761266726,177976,280.3900909,,,,,,
1761266899,198804,116.1338081,,,,,,
1761266907,200200,519.9570923,,,,,,
1761266912,201232,634.9718628,,,,,,
1761266915,201720,549.0417892,,,,,,
1761266977,208884,657.0631104,,,,,,
1761266978,209148,200.8528976,,,,,,
1761266983,210352,575.6260986,,,,,,
1761266998,212912,269.7988129,,,,,,
1761267027,213960,803.3078003,,,,,,
1761267090,222432,773.2404785,,,,,,
1761267153,230404,82.83766937,,,,,,
1761267228,239952,545.0723877,,,,,,
1761267230,240364,93.94008064,,,,,,
1761267291,247272,760.0532227,,,,,,
1761267305,249920,410.6166687,,,,,,
1761267309,250648,374.8862228,,,,,,
1761267318,252452,155.2732315,,,,,,
1761267376,258624,749.0200195,,,,,,
1761267427,263692,610.4326172,,,,,,
1761267428,263896,420.5061493,,,,,,
1761267430,264368,788.0883179,,,,,,
1761267443,266464,423.428421,,,,,,
1761267443,266476,761.4664307,,,,,,
1761267447,267272,342.6990051,,,,,,
1761267456,268956,631.5709229,,,,,,
1761267457,269116,452.3626846,,,,,,
1761267488,270388,477.7503876,,,,,,
1761267490,270844,144.0645561,,,,,,
1761267496,272116,482.8000977,,,,,,
1761267527,277628,556.4146271,,,,,,
1761267560,279420,151.7995605,,,,,,
1761267621,286920,700.0276489,,,,,,
1761267625,287848,44.95157719,,,,,,
1761267629,288736,0,,,,,,
1761267654,292988,553.739624,,,,,,
1761267656,293328,706.3752441,,,,,,
1761267700,297440,704.7520142,,,,,,
1761267763,306332,610.7507324,,,,,,
1761267828,314504,0,,,,,,
1761267835,315664,795.3203735,,,,,,
1761267885,320572,590.3591309,,,,,,
1761267905,324400,489.7441422,,,,,,
1761267916,326556,0,,,,,,
1761267920,327524,750.6940918,,,,,,
1761267947,328196,165.9031906,,,,,,
1761267950,328944,364.8086243,,,,,,
1761267962,331116,121.0287323,,,,,,
1761267986,335728,451.577359,,,,,,
1761268170,358784,197.3659286,,,,,,
1761268173,359408,302.2373199,,,,,,
1761268236,366664,620.3043823,,,,,,
1761268276,369836,375.0512466,,,,,,
1761268306,375900,377.7153732,,,,,,
1761268309,376444,425.7095886,,,,,,
1761268411,386772,455.3322662,,,,,,
1761268413,387144,693.6002197,,,,,,
1761268444,392588,565.4533691,,,,,,
1761268485,396184,0,,,,,,
1761268495,398104,377.5160324,,,,,,
1761268502,399092,675.8260498,,,,,,
1761268547,402812,288.4966278,,,,,,
1761268565,405932,655.1185913,,,,,,
1761268575,407816,638.0072632,,,,,,
1761268615,410832,221.7464218,,,,,,
1761268636,414616,644.0418091,,,,,,
1761268651,417408,543.7713623,,,,,,
1761268679,418440,851.9071655,,,,,,
1761268691,420492,528.7355957,,,,,,
1761268708,423692,509.5449524,,,,,,
1761268710,424144,707.5791626,,,,,,
1761268815,435068,679.3725586,,,,,,
1761268817,435364,301.2708206,,,,,,
1761268851,441336,515.4266357,,,,,,
1761268881,442540,702.6522827,,,,,,
1761268908,447400,557.0693985,,,,,,
1761268950,451104,554.1025894,,,,,,
1761268976,456456,574.6985321,,,,,,
1761269015,459396,554.6681519,,,,,,
1761269040,464080,400.1670105,,,,,,
1761269044,464944,0,,,,,,
1761269102,471128,731.9784546,,,,,,
1761269108,472288,234.790329,,,,,,
1761269111,472804,612.1421509,,,,,,
1761269149,475748,553.9135132,,,,,,
1761269173,480264,539.1688843,,,,,,
1761269175,480704,584.6367798,,,,,,
1761269225,486092,466.0329895,,,,,,
1761269251,491056,537.8156128,,,,,,
1761269283,493012,773.9310303,,,,,,
1761269296,495644,236.8390961,,,,,,
1761269343,500916,584.0632324,,,,,,
1761269360,504144,255.5721359,,,,,,
1761269362,504636,503.9778137,,,,,,
1761269374,506868,0,,,,,,
1761269378,507660,370.314003,,,,,,
1761269405,508088,482.8000977,,,,,,
1761269406,508520,317.0766449,,,,,,
1761269433,513704,522.225676,,,,,,
1761269498,522068,0,,,,,,
1761269559,529052,500.155304,,,,,,
1761269575,531864,531.2674667,,,,,,
1761269615,535116,597.1784668,,,,,,
1761269646,540628,368.3454422,,,,,,
1761269686,543656,583.2976685,,,,,,
1761269692,544796,569.3677979,,,,,,
1761269714,548848,261.5821381,,,,,,
1761269741,549492,231.3875656,,,,,,
1761269766,554496,411.120163,,,,,,
1761269775,556148,680.0401611,,,,,,
1761269814,559108,426.0748596,,,,,,
1761269817,559752,551.2416992,,,,,,
1761269882,568428,659.6034546,,,,,,
1761269886,569388,246.5639648,,,,,,
1761269906,573300,278.7773438,,,,,,
1761269939,575188,574.4288254,,,,,,
1761269961,579340,77.15302277,,,,,,
1761270002,582784,619.6749268,,,,,,
1761270028,587508,248.4109497,,,,,,
1761270033,588404,499.5462357,,,,,,
1761270076,591996,0,,,,,,
1761270084,593684,515.6336716,,,,,,
1761270101,596976,880.5113525,,,,,,
1761270134,598868,158.0766563,,,,,,
1761270145,600948,400.9380173,,,,,,
1761270148,601564,577.6598511,,,,,,
1761270166,605000,564.0432739,,,,,,
1761270205,608208,508.2727051,,,,,,
1761270206,608488,414.1855835,,,,,,
1761270224,612120,516.202179,,,,,,
