Wall time,Step,Value,,Metrics,Value,Rounded
1760584112,9172,842.0750122,,Q1,310.6221542,311
1760584240,24688,656.7178345,,Q2,520.6997681,521
1760584317,35164,604.7629395,,Q3,633.1098022,633
1760584318,35228,486.3484802,,Max,875.5407104,876
1760584385,43632,534.4549561,,IQR,322.487648,322
1760584459,53108,522.9626465,,,,
1760584597,69148,277.5231323,,,,
1760584656,75800,622.1817017,,,,
1760584669,78296,662.5112915,,,,
1760584745,88232,582.9885864,,,,
1760584796,93160,0,,,,
1760584853,99332,112.8086548,,,,
1760584933,109544,575.2322998,,,,
1760584988,115292,720.7278442,,,,
1760584995,116828,422.5365906,,,,
1760585004,118392,442.105835,,,,
1760585144,135576,789.9502563,,,,
1760585158,138208,278.7872925,,,,
1760585221,145220,701.6574707,,,,
1760585263,148288,429.0057068,,,,
1760585282,151912,644.3280029,,,,
1760585295,154080,505.6900024,,,,
1760585400,164252,645.6559448,,,,
1760585499,178628,666.7977905,,,,
1760585678,198908,501.0346375,,,,
1760585843,221164,552.6727905,,,,
1760585896,226540,578.7489624,,,,
1760585906,228304,736.0931396,,,,
1760586038,244752,304.3651428,,,,
1760586174,261724,699.3939209,,,,
1760586361,283076,550.7399902,,,,
1760586414,288504,545.7041016,,,,
1760586420,289704,382.8590393,,,,
1760586582,310920,322.1956482,,,,
1760586626,314628,63.09103012,,,,
1760586635,316452,668.1871338,,,,
1760586643,317960,437.1896362,,,,
1760586828,338460,660.2489014,,,,
1760586964,355028,306.8351746,,,,
1760586993,360212,27.02286148,,,,
1760587021,360816,3.810760736,,,,
1760587060,367972,460.5502625,,,,
1760587161,377912,384.0090942,,,,
1760587177,380776,21.20450211,,,,
1760587226,385436,601.5461426,,,,
1760587372,403288,598.3633423,,,,
1760587432,409800,556.0697021,,,,
1760587443,411848,0,,,,
1760587476,417636,299.1816711,,,,
1760587506,418544,200.1604919,,,,
1760587517,420588,372.8263855,,,,
1760587543,425440,298.5892334,,,,
1760587576,427324,466.9763184,,,,
1760587579,427928,520.8440552,,,,
1760587709,444008,633.5612183,,,,
1760587777,452048,472.8529968,,,,
1760587797,455616,784.1314087,,,,
1760587814,458536,725.5663452,,,,
1760587914,468168,545.0153198,,,,
1760588121,493452,14.84616661,,,,
1760588122,493652,571.1650391,,,,
1760588191,501964,602.3471069,,,,
1760588271,511796,662.8024902,,,,
1760588293,515752,378.3702698,,,,
1760588324,517496,313.3247986,,,,
1760588329,518324,667.9180908,,,,
1760588348,522108,236.5295105,,,,
1760588498,540512,464.7561951,,,,
1760588591,549116,112.2488098,,,,
1760588604,551512,568.3831787,,,,
1760588662,557696,98.33971405,,,,
1760588666,558736,550.3997192,,,,
1760588673,559916,615.4594727,,,,
1760588749,569708,61.78612518,,,,
1760588804,575892,192.4947662,,,,
1760588834,581564,678.1305542,,,,
1760588947,593984,569.9873657,,,,
1760589097,613008,454.1794128,,,,
1760589156,619588,470.102417,,,,
1760589230,629532,637.1305542,,,,
1760589283,634924,167.5417328,,,,
1760589297,637320,512.1087036,,,,
1760589354,643476,237.0873718,,,,
1760589368,645896,299.5779419,,,,
1760589422,651720,571.1105957,,,,
1760589537,665240,671.5598145,,,,
1760589668,682004,0,,,,
1760589690,686592,764.7223511,,,,
1760589723,688376,203.309082,,,,
