1761241672,11376,572.6110229,,Metrics,Value,Rounded,Simulated,% Change
1761241681,16912,684.7495728,,Q1,167.25,167,204,-18.1
1761241683,17936,332.9163513,,Q2,391.98,391,454,-13.9
1761241701,27296,409.5839233,,Q3,587.99,587,606,-3.1
1761241702,28096,583.2756958,,Max,866.23,866,928,-6.7
1761241726,40320,500.7705078,,IQR,420.74,420,402,4.5
1761241744,50944,475.5038757,,,,,,
1761241748,52928,0,,,,,,
1761241755,56448,303.2222595,,,,,,
1761241768,64416,268.9433289,,,,,,
1761241807,85664,545.3139038,,,,,,
1761241838,101168,465.2702026,,,,,,
1761241843,104464,154.1269836,,,,,,
1761241857,111872,609.4707031,,,,,,
1761241859,112512,583.3295898,,,,,,
1761241864,115520,590.038269,,,,,,
1761241888,128352,457.394043,,,,,,
1761241892,130512,286.1427002,,,,,,
1761241902,135088,158.7237549,,,,,,
1761241910,140128,765.2199097,,,,,,
1761241912,140688,157.0703735,,,,,,
1761241921,145856,372.4852905,,,,,,
1761241929,149568,183.7213135,,,,,,
1761241977,174512,532.6235352,,,,,,
1761241990,181472,385.8587952,,,,,,
1761242002,188640,205.1531525,,,,,,
1761242010,193056,164.4955292,,,,,,
1761242010,193184,247.5308838,,,,,,
1761242069,225840,706.8167114,,,,,,
1761242081,231088,802.3324585,,,,,,
1761242104,244016,89.67542267,,,,,,
1761242130,258400,18.36135864,,,,,,
1761242141,263152,16.93819427,,,,,,
1761242153,270192,691.6860962,,,,,,
1761242165,277312,101.8834915,,,,,,
1761242167,278288,0,,,,,,
1761242203,297104,626.7225342,,,,,,
1761242207,299616,519.5838623,,,,,,
1761242226,310608,168.0396271,,,,,,
1761242226,310688,624.4737549,,,,,,
1761242249,322752,156.526886,,,,,,
1761242265,330480,765.4807739,,,,,,
1761242286,340512,391.980957,,,,,,
1761242302,349920,693.5714111,,,,,,
1761242305,351872,719.5140381,,,,,,
1761242328,363840,585.939209,,,,,,
1761242348,374880,204.6177826,,,,,,
1761242414,411136,639.0996094,,,,,,
1761242485,450576,624.2017822,,,,,,
1761242486,451120,0,,,,,,
1761242528,473376,2.224661589,,,,,,
1761242540,479680,96.8589859,,,,,,
1761242577,501792,384.8849792,,,,,,
1761242601,515440,477.8479309,,,,,,
1761242666,550896,326.7631226,,,,,,
1761242702,570448,12.07749844,,,,,,
1761242724,582704,0,,,,,,
1761242746,593488,577.9906616,,,,,,
1761242797,622496,472.9499207,,,,,,
1761242810,628800,512.6503906,,,,,,
1761242906,680976,0,,,,,,
1761242925,690544,322.4461975,,,,,,
1761242946,702608,418.5443115,,,,,,
1761242951,705568,0,,,,,,
1761242962,711280,314.3833313,,,,,,
1761242987,723152,564.1311646,,,,,,
1761243009,735552,603.7943115,,,,,,
1761243029,747152,555.1081543,,,,,,
1761243060,762528,349.0038452,,,,,,
1761243068,766672,37.10932541,,,,,,
1761243069,767344,712.7047119,,,,,,
1761243110,788944,138.2129059,,,,,,
1761243115,791696,397.2449646,,,,,,
1761243120,794928,30.31921577,,,,,,
1761243130,800320,336.3291321,,,,,,
1761243144,807904,517.7000122,,,,,,
1761243150,811536,129.2464905,,,,,,
1761243160,817072,0,,,,,,
1761243186,830960,314.1407471,,,,,,
1761243198,837376,214.0517426,,,,,,
1761243203,839888,16.10404778,,,,,,
1761243215,846864,20.49672318,,,,,,
1761243253,865648,709.7522583,,,,,,
1761243265,873248,211.6380157,,,,,,
1761243270,876272,387.8450012,,,,,,
1761243288,885056,373.2365417,,,,,,
1761243294,888800,419.2857056,,,,,,
1761243316,901088,729.6172485,,,,,,
1761243341,915024,352.1138306,,,,,,
1761243351,918640,355.7666626,,,,,,
1761243372,931600,593.3403931,,,,,,
1761243376,933808,617.0335083,,,,,,
