1761237446,23296,717.2116322,,Metrics,Value,Rounded
1761237457,29648,0,,Q1,204.4064733,204
1761237460,30768,598.9673768,,Q2,454.1527079,454
1761237469,34640,215.5814816,,Q3,606.2180075,606
1761237490,45152,0,,Max,927.736452,928
1761237502,52240,313.0030796,,IQR,401.8115342,402
1761237502,52640,292.8533668,,,,
1761237520,62896,804.4372789,,,,
1761237533,69152,416.1579965,,,,
1761237536,70800,603.9475464,,,,
1761237550,78512,0,,,,
1761237552,79456,767.8383473,,,,
1761237563,85520,349.2715894,,,,
1761237573,90496,599.3179792,,,,
1761237599,103776,0,,,,
1761237637,125600,330.8872863,,,,
1761237638,126176,0,,,,
1761237645,129936,0,,,,
1761237664,139072,572.3300524,,,,
1761237674,144384,549.8857209,,,,
1761237677,146224,375.2008175,,,,
1761237679,147552,789.6106796,,,,
1761237684,150000,0,,,,
1761237697,157360,195.7670056,,,,
1761237703,160048,274.8401697,,,,
1761237719,168192,250.3070728,,,,
1761237737,177728,713.2546083,,,,
1761237756,188688,0,,,,
1761237764,193152,530.5763586,,,,
1761237770,196432,326.6945286,,,,
1761237776,198128,746.2136753,,,,
1761237788,204832,828.777883,,,,
1761237795,208800,518.7290452,,,,
1761237796,209088,253.5811379,,,,
1761237833,229168,570.4740358,,,,
1761237849,237568,851.1395173,,,,
1761237850,238512,584.3528536,,,,
1761237856,241376,334.2787879,,,,
1761237874,250832,258.6977882,,,,
1761237881,254288,848.1300966,,,,
1761237918,274224,605.5719419,,,,
1761237929,280640,0,,,,
1761237936,284672,234.0976884,,,,
1761237988,313504,724.7780166,,,,
1761238008,324288,0,,,,
1761238021,330752,378.7386902,,,,
1761238066,355296,379.9716452,,,,
1761238105,375584,813.8965451,,,,
1761238113,380304,0,,,,
1761238120,384352,779.5313253,,,,
1761238127,388400,828.777883,,,,
1761238150,400176,0,,,,
1761238151,400368,535.7275401,,,,
1761238157,404160,556.5813555,,,,
1761238184,419936,348.6510703,,,,
1761238210,431968,548.4830007,,,,
1761238231,444128,0,,,,
1761238242,449744,600.9988191,,,,
1761238247,452384,800.3220276,,,,
1761238252,455488,213.1727452,,,,
1761238276,467920,0,,,,
1761238300,480720,313.180573,,,,
1761238301,481152,502.0013656,,,,
1761238306,484192,728.0118159,,,,
1761238317,489392,568.7971743,,,,
1761238353,508848,337.6112366,,,,
1761238369,517088,613.422202,,,,
1761238372,518720,750.5409767,,,,
1761238391,527120,732.1718726,,,,
1761238397,531072,777.5132564,,,,
1761238407,536576,537.2894611,,,,
1761238420,543472,204.9340234,,,,
1761238424,545584,0,,,,
1761238452,558800,551.9876565,,,,
1761238463,565344,0,,,,
1761238464,565840,271.479297,,,,
1761238471,569872,791.5859157,,,,
1761238471,570384,0,,,,
1761238482,576480,219.6139417,,,,
1761238484,577520,319.9825741,,,,
1761238499,585728,723.9238282,,,,
1761238521,596992,589.8337505,,,,
1761238542,608464,595.868711,,,,
1761238548,611856,515.6713761,,,,
1761238586,633008,592.7850265,,,,
1761238647,667296,537.7283979,,,,
1761238663,675504,0,,,,
1761238666,676896,240.9410318,,,,
1761238705,696480,296.4025145,,,,
1761238707,697664,0,,,,
1761238734,712464,202.823823,,,,
1761238745,719008,927.736452,,,,
1761238766,730288,0,,,,
1761238768,731520,606.2180075,,,,
1761238792,744656,889.1860959,,,,
1761238795,746464,786.636624,,,,
1761238798,748208,505.1816833,,,,
1761238829,763696,701.3687422,,,,
1761238841,769920,891.0069793,,,,
1761238862,782016,333.5482718,,,,
1761238880,791296,410.7668101,,,,
1761238904,805312,897.1307185,,,,
1761238913,810192,0,,,,
1761238921,814528,265.4464255,,,,
1761238978,845312,608.9811146,,,,
1761238980,846512,576.4836336,,,,
1761239000,857008,0,,,,
1761239007,861136,242.6403092,,,,
1761239027,871952,0,,,,
1761239030,873920,519.6154661,,,,
1761239038,878176,561.0396,,,,
1761239068,893408,492.1474193,,,,
1761239092,906752,0,,,,
1761239111,916912,762.0979891,,,,
1761239118,919184,584.4490827,,,,
1761239149,936624,356.4712582,,,,
1761239182,953328,523.7973626,,,,
1761239226,978016,726.8632229,,,,
1761239228,979072,0,,,,
1761239232,982192,0,,,,
1761239255,993472,606.2180075,,,,
1761239256,994288,0,,,,
1761239281,1008656,0,,,,
1761239298,1017568,0,,,,
