StepV,ValueV,StepF,ValueF,StepL,ValueL
256016,0,243360,0,123952,0
272752,0,314048,0,223968,0
342592,0,353136,0,320768,0
564000,1.471151304,463840,0,392512,0
616736,5.680833721,503024,0,582208,2.861847401
626784,0,622064,5.825212479,765280,0
663040,0,643008,0,858256,0
725984,0,645312,0,994784,5.197579861
758832,0,701520,0,1183568,0
824304,0,762080,9.047253609,1211072,2.820919752
852192,0,857808,11.79431915,1359872,6.080797672
870080,0,895616,16.78179741,1437712,16.2753849
958976,16.93135128,899888,8.529780388,1554064,9.125735283
1056720,41.40700722,962816,16.15965843,1677904,10.58123016
1113904,4.594069147,1081776,0,1816256,0
1410192,64.36949387,1118192,13.97619057,1918624,0
1410784,84.75178986,1286864,20.14390755,1992528,103.5154877
1487600,0,1293936,82.41818237,2019216,94.56118774
1539264,3.858286858,1395216,26.04275703,2191328,99.21831512
1591520,23.50976372,1399952,52.80871964,2247424,198.9452209
1685440,5.202671814,1501632,12.19776154,2339664,138.7881775
1692768,105.0388756,1619056,82.88260651,2446896,201.0500793
1781424,12.40204268,1640256,101.6596146,2473632,217.9011078
1827648,62.25388412,1759568,0,2532464,0
1844752,99.54191437,1782784,0,2559344,155.9871368
1856144,0,1790736,107.3548584,2642752,37.47826767
1952320,162.8004776,1820560,0,2718672,408.5645752
1986112,19.5279253,1981984,11.39042759,2819344,215.7875824
1992512,8.360375977,2043104,1.390259624,2854720,276.7855835
2121456,119.1343002,2066176,0,2890832,76.28376007
2132528,235.6737671,2210592,48.62023926,2906864,180.7643127
2140976,31.98380356,2267872,10.77875233,3041408,129.4776917
2184720,59.3046524,2281440,213.6305542,3114096,332.1885986
2231152,109.8755447,2286032,162.0269012,3148976,7.250331879
2327216,232.236145,2296048,2.104143143,3207328,12.40709496
2336368,31.99355736,2416880,80.16824341,3286336,180.6155396
2345744,334.2870483,2503472,30.53439522,3340752,186.4452057
2379824,322.6506317,2554560,36.80465698,3370592,211.990097
2385248,15.85383282,2686368,37.045784,3461472,66.10868835
2507328,266.0957062,2720528,98.26203918,3512656,480.9359436
2517824,126.535968,2756032,27.94308281,3584752,53.10832596
2547792,418.7217865,2762624,84.36357117,3634000,322.9316711
2590800,52.49260025,2856176,27.1070652,3706896,0
2659712,359.5252808,2887872,0,3746592,0
2743232,152.4520432,2961968,11.99185371,3862176,67.98271179
2963408,10.35568628,2973904,0,3972768,295.6618958
3015456,151.5995453,3071856,43.27700043,3986640,227.5419006
3023072,29.5019165,3100848,0,4034016,210.1347046
3029904,180.5438644,3155504,175.3860016,4079504,397.9263611
3057376,6.933351946,3241072,217.0913239,4131424,208.0109711
3092256,150.6829285,3395984,40.88599777,4176400,126.0063248
3186336,199.6739182,3418944,38.28638077,4268640,227.5939941
3380064,66.4140358,3459280,223.035965,4295792,75.47239685
3476128,69.31777725,3463360,70.15550232,4418624,134.0333862
3477968,271.0967926,3478880,237.0762024,4449488,398.8675232
3482944,383.1778015,3491536,359.1961975,4475648,0
3605376,264.0934204,3604368,196.5479584,4486368,510.4787292
3671872,244.9617462,3836000,176.4743958,4646976,0
3720512,70.02834549,3880432,563.2531738,4669056,0
3722256,166.8861832,3907392,91.33608246,4716800,91.40948486
3775824,0,3921264,2.12257266,4754896,323.1162109
3842704,56.42643013,4094032,155.4510956,4818304,0
3883200,514.9424927,4211392,0,4829712,546.5348511
3899168,367.5163239,4215808,107.3329697,4846672,0
3913040,47.01229019,4239680,280.6408386,4900080,216.7242889
3942704,77.03004227,4252032,184.3994141,4965072,399.3175354
3975008,322.7959808,4360832,214.3899078,5024592,541.9545288
4097728,2.379186773,4364608,114.1355743,5065200,0
4118736,104.5727188,4447744,164.5030975,5101632,270.8758545
4155088,215.9821884,4552784,62.50759888,5108416,16.12701225
4156320,31.50157928,4573920,34.26990128,5146976,2.516201496
4230352,0,4633744,119.5321274,5209424,580.8457642
4261632,126.9545059,4733792,398.9816895,5279504,311.3338928
4278384,362.9000885,4799344,73.4355011,5303136,231.9808655
4290880,260.9784668,4867744,21.16811943,5314960,695.0938721
4321360,37.18049469,4893568,0,5342896,25.15921593
4354112,162.2941315,4914288,77.77900696,5449440,1.718181014
4416656,90.35113678,4942704,384.231842,5564912,0
4428704,401.4261749,4944176,0,5571200,319.6909485
4429952,49.05137672,4960624,267.2070923,5593040,530.6307373
