1761158138,89152,481.8064087,,Metrics,Value,Rounded,Simulated,% Change
1761158146,94320,378.155841,,Q1,80.39324741,80,80,0
1761158213,132064,43.68309288,,Q2,228.868087,229,261,-12.3
1761158254,157184,129.7407349,,Q3,392.1358818,392,435,-9.7
1761158296,181200,60.72420959,,Max,727.0114746,727,770,-5.6
1761158389,235264,100.1335762,,IQR,311.7426344,312,355,-11.8
1761158406,245168,250.5315399,,,,,,
1761158416,250464,386.1051361,,,,,,
1761158445,265184,155.1548858,,,,,,
1761158447,266192,656.6555237,,,,,,
1761158465,276400,0,,,,,,
1761158496,294896,563.9846375,,,,,,
1761158564,331824,200.0621201,,,,,,
1761158572,336656,78.59583435,,,,,,
1761158699,406928,283.4838501,,,,,,
1761158760,442304,73.68804245,,,,,,
1761158814,474192,510.9518189,,,,,,
1761158883,513712,92.73950271,,,,,,
1761158894,520592,47.45063095,,,,,,
1761158976,565856,404.877118,,,,,,
1761159010,585168,33.75841141,,,,,,
1761159039,601584,81.3862175,,,,,,
1761159071,618832,251.6711243,,,,,,
1761159132,650528,41.12388267,,,,,,
1761159207,688640,242.9334503,,,,,,
1761159240,707088,265.0562622,,,,,,
1761159269,721328,0,,,,,,
1761159294,734192,376.9689056,,,,,,
1761159307,740640,202.5504547,,,,,,
1761159318,745952,122.9989197,,,,,,
1761159345,758944,250.174704,,,,,,
1761159477,827760,262.8163422,,,,,,
1761159486,832720,293.0284698,,,,,,
1761159590,885568,357.5610626,,,,,,
1761159748,971280,0,,,,,,
1761159765,982048,136.7816117,,,,,,
1761159771,984000,371.1499421,,,,,,
1761159811,1005552,19.0157135,,,,,,
1761159887,1044256,403.3514863,,,,,,
1761159948,1075712,166.9406204,,,,,,
1761160100,1157632,131.9782242,,,,,,
1761160214,1217664,0,,,,,,
1761160262,1244464,180.0780304,,,,,,
1761160333,1279296,105.719664,,,,,,
1761160515,1375296,17.17964744,,,,,,
1761160528,1381392,428.5541381,,,,,,
1761160555,1395456,46.36975136,,,,,,
1761160567,1401808,104.6961228,,,,,,
1761160586,1409776,683.0980224,,,,,,
1761160591,1412848,224.397345,,,,,,
1761160771,1505984,299.1435456,,,,,,
1761161021,1634896,133.9231613,,,,,,
1761161245,1748512,271.4176209,,,,,,
1761161254,1753632,0,,,,,,
1761161287,1770720,220.3736161,,,,,,
1761161493,1876384,131.3567825,,,,,,
1761161559,1910224,231.1029877,,,,,,
1761161616,1939248,399.1435456,,,,,,
1761161652,1957920,454.9054505,,,,,,
1761161678,1971664,276.443866,,,,,,
1761161825,2049120,0,,,,,,
1761161841,2058240,485.4448608,,,,,,
1761161850,2063824,0,,,,,,
1761161995,2144144,500.4012085,,,,,,
1761162094,2196688,17.65892086,,,,,,
1761162127,2215248,203.5632156,,,,,,
1761162291,2300048,495.2521912,,,,,,
1761162378,2346384,351.5772217,,,,,,
1761162413,2364208,4.700505209,,,,,,
1761162419,2367408,31.00734558,,,,,,
1761162448,2382032,470.1228881,,,,,,
1761162461,2389712,255.5721497,,,,,,
1761162484,2400080,26.56905098,,,,,,
1761162528,2424592,317.6296051,,,,,,
1761162647,2489344,40.24976921,,,,,,
1761162716,2526464,6.637209463,,,,,,
1761162756,2547744,225.9334121,,,,,,
1761162763,2551856,282.370166,,,,,,
1761162777,2557104,373.7247803,,,,,,
1761162846,2593712,47.77233124,,,,,,
1761162890,2620704,120.7373703,,,,,,
1761162937,2645584,340.5819397,,,,,,
1761162985,2669856,150.5088501,,,,,,
1761163062,2712336,354.0229706,,,,,,
1761163070,2716512,329.5934692,,,,,,
1761163174,2773792,169.6360062,,,,,,
1761163240,2811568,77.66468124,,,,,,
1761163281,2832256,0,,,,,,
1761163389,2889744,538.8121032,,,,,,
1761163436,2913904,431.6781281,,,,,,
1761163493,2943520,0,,,,,,
1761163529,2962000,352.7958526,,,,,,
1761163558,2977840,332.5300049,,,,,,
1761163564,2980464,35.34083404,,,,,,
1761163704,3052688,2.102636219,,,,,,
1761163739,3071328,184.6773468,,,,,,
1761163783,3094688,146.4985382,,,,,,
1761163806,3107584,102.4990974,,,,,,
1761163845,3127552,246.8733948,,,,,,
1761163936,3174800,36.99281044,,,,,,
1761164042,3233744,96.6281067,,,,,,
1761164153,3290096,424.488977,,,,,,
1761164257,3345424,165.2088455,,,,,,
1761164341,3390784,493.1544617,,,,,,
1761164384,3413360,134.112236,,,,,,
1761164400,3421040,328.0232483,,,,,,
1761164449,3445056,204.8434799,,,,,,
1761164475,3460112,385.1716553,,,,,,
1761164528,3486464,456.3844849,,,,,,
1761164540,3492896,159.0337601,,,,,,
1761164608,3530560,294.1414948,,,,,,
